image,boat_count,detected_image,boat_coordinates,
AXISQ6074EPTZACCC8EACA584_20230910T104501.000Z.jpg,1,View Image,"(1252.0, 43.0)",
AXISQ6074EPTZACCC8EACA584_20231017T104001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T071501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230926T045001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231016T022001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230921T094001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231022T043001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230915T085501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231021T033001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231021T070501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231015T050501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T104001.000Z.jpg,5,View Image,"(424.0, 70.0); (768.0, 57.0); (633.0, 63.0); (539.0, 68.0); (555.0, 65.0)",
AXISQ6074EPTZACCC8EACA584_20231015T051501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231011T031001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230919T121501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230912T091001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230912T110001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231012T085501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231007T091501.000Z.jpg,1,View Image,"(1072.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20231012T034501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231011T055501.000Z.jpg,2,View Image,"(1072.0, 45.0); (1072.0, 54.0)",
AXISQ6074EPTZACCC8EACA584_20231014T120501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230909T070002.000Z.jpg,2,View Image,"(1057.0, 48.0); (874.0, 52.0)",
AXISQ6074EPTZACCC8EACA584_20230912T120002.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230909T114001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231010T111501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231006T083001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230913T102501.000Z.jpg,1,View Image,"(1073.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20230924T043001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230919T130501.000Z.jpg,0,View Image,,
